,abbreviation,expansion,whole_set
44,a/p,assessment/plan,"['a&p', 'a.p', 'a/p', 'abdomen and pelvis', 'abdomen/pelvis', 'active/passive', 'alk phos', 'alk-phos', 'alkaline phosphatase', 'alkp', 'alkphos', 'allen pavilion', 'alp', 'anterior posterior', 'anterior-posterior', 'anterior/posterior', 'anteroposterior', 'ap', 'assessment and plan', 'assessment and plans', 'assessment/plan']"
45,a/v,arteriole-venule ratio,"['a/v', 'arteriole-venule ratio', 'arteriole–venule ratio']"
46,a/v,arteriole–venule ratio,"['a/v', 'arteriole-venule ratio', 'arteriole–venule ratio']"
47,a/v nicking,arteriolar/venous nicking,"['a/v nicking', 'arteriolar/venous nicking']"
48,a/v ratio,arteriolar/venous ratio,"['a/v ratio', 'arteriolar/venous ratio']"
49,a0,0 abortions,"['0 abortions', 'a0']"
50,a1,1 abortion,"['1 abortion', 'a1', 'a1 segment of anterior cerebral artery']"
51,a1,a1 segment of anterior cerebral artery,"['1 abortion', 'a1', 'a1 segment of anterior cerebral artery']"
52,a1a,alpha-1 antitrypsin,"['a1a', 'alpha-1 antitrypsin']"
53,a1c,hemoglobin a1c,"['a1c', 'hba1c', 'hemoglobin a1c', 'hgba1c']"
54,a2,aortic second sound,"['a2', 'aortic second sound']"
55,aa,affected area,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
56,aa,african american,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
57,aa,alcoholics anonymous,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
58,aa,amino acid,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
59,aa,aortic atresia,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
60,aa,aplastic anemia,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
61,aa,artery,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
62,aa,awake alert,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
63,aa,awake and alert,"['aa', 'affected area', 'african american', 'alcoholics anonymous', 'amino acid', 'aortic atresia', 'aplastic anemia', 'artery', 'awake alert', 'awake and alert']"
64,aaa,abdominal aortic aneurysm,"['aaa', 'abdominal aortic aneurysm', 'apply to affected area']"
65,aaa,apply to affected area,"['aaa', 'abdominal aortic aneurysm', 'apply to affected area']"
66,aae,active assisted exercise,"['aae', 'active assisted exercise']"
67,aal,anterior axillary line,"['aal', 'anterior axillary line']"
68,aao,awake alert and oriented,"['aao', 'awake alert and oriented']"
69,aarom,active assistive range of motion,"['aarom', 'active assistive range of motion']"
70,aas,aarskog-scott syndrome,"['aarskog-scott syndrome', 'aarskog–scott syndrome', 'aas']"
71,aas,aarskog–scott syndrome,"['aarskog-scott syndrome', 'aarskog–scott syndrome', 'aas']"
72,ab,abdomen,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
73,ab,abortion,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
74,ab,antibiotics,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
75,ab,antibody,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
76,ab-scr,antibody screen,"['ab-scr', 'antibody screen', 'asn']"
77,abc,abacavir,"['abacavir', 'abc', 'advanced breast cancer', 'airway', 'breathing', 'breathing and circulation', 'carotid sinus massage', 'cervix', 'circ', 'circulation', 'circumcised', 'circumcision', 'circumference', 'circumflex', 'csm', 'culture', 'cx', 'movement', 'sensation']"
78,abc,advanced breast cancer,"['abacavir', 'abc', 'advanced breast cancer', 'airway', 'breathing', 'breathing and circulation', 'carotid sinus massage', 'cervix', 'circ', 'circulation', 'circumcised', 'circumcision', 'circumference', 'circumflex', 'csm', 'culture', 'cx', 'movement', 'sensation']"
79,abc,"airway, breathing and circulation","['abacavir', 'abc', 'advanced breast cancer', 'airway', 'breathing', 'breathing and circulation', 'carotid sinus massage', 'cervix', 'circ', 'circulation', 'circumcised', 'circumcision', 'circumference', 'circumflex', 'csm', 'culture', 'cx', 'movement', 'sensation']"
80,abc,"airway, breathing, circulation","['abacavir', 'abc', 'advanced breast cancer', 'airway', 'breathing', 'breathing and circulation', 'carotid sinus massage', 'cervix', 'circ', 'circulation', 'circumcised', 'circumcision', 'circumference', 'circumflex', 'csm', 'culture', 'cx', 'movement', 'sensation']"
81,abcd,"albinism, black lock, cell migration disorder","['abcd', 'albinism', 'black lock', 'cell migration disorder']"
82,abcde,"asymmetry, border irregularity, color variation, diameter, evolution","['abcde', 'asymmetry', 'border irregularity', 'color variation', 'diameter', 'evolution']"
83,abd,abdomen,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
84,abd,abdominal,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
85,abd,abdominal exam,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
86,abd,abduction,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
87,abe,acute bacterial endocarditis,"['abe', 'acute bacterial endocarditis']"
88,abg,arterial blood gas,"['abg', 'arterial blood gas']"
89,abi,ankle brachial index,"['abi', 'ankle brachial index']"
90,ablb,alternate binaural loudness balance,"['ablb', 'alternate binaural loudness balance']"
91,abmt,autologous bone marrow transplant,"['abmt', 'autologous bone marrow transplant']"
92,abn,abnormalities,"['abn', 'abnl', 'abnormal', 'abnormalities', 'abnormality']"
93,abn,abnormality,"['abn', 'abnl', 'abnormal', 'abnormalities', 'abnormality']"
94,abnl,abnormal,"['abn', 'abnl', 'abnormal', 'abnormalities', 'abnormality']"
95,abnl,abnormality,"['abn', 'abnl', 'abnormal', 'abnormalities', 'abnormality']"
96,abo,a/b/o blood type,"['a/b/o blood type', 'abo', 'blood group system']"
97,abo,blood group system,"['a/b/o blood type', 'abo', 'blood group system']"
98,abp,ambulatory blood pressure,"['abp', 'ambulatory blood pressure', 'arterial blood pressure']"
99,abp,arterial blood pressure,"['abp', 'ambulatory blood pressure', 'arterial blood pressure']"
100,abpa,allergic bronchopulmonary aspergillosis,"['abpa', 'allergic bronchopulmonary aspergillosis']"
101,abrh,abo group and rh type,"['abo group and rh type', 'abrh']"
102,abs,absolute,"['abs', 'absolute', 'antibodies']"
103,abs,antibodies,"['abs', 'absolute', 'antibodies']"
104,abt,antibody titer,"['abt', 'antibody titer']"
105,abw,actual body weight,"['abw', 'actual body weight']"
106,abx,antibiotic,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
107,abx,antibiotics,"['ab', 'abd', 'abdomen', 'abdominal', 'abdominal exam', 'abduction', 'abortion', 'abx', 'antibiotic', 'antibiotics', 'antibody']"
108,ac,acromioclavicular,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
109,ac,acromioclavicular joint,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
110,ac,advanced-control,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
111,ac,ante cibum,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
112,ac,antecubital,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
113,ac,anterior chamber,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
114,ac,assist control,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
115,ac,attenuation correction,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
116,ac,before meals,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
117,ac,"cyclophosphamide, doxorubicin","['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
118,ac,hemoglobin ac,"['a.c.', 'a/c', 'ac', 'acromioclavicular', 'acromioclavicular joint', 'adriamycin', 'advanced-control', 'ante cibum', 'antecubital', 'anterior chamber', 'assist control', 'attenuation correction', 'before meals', 'c', 'caesarean', 'cellular phone', 'celsius', 'central pontine myelinolysis', 'cervical', 'cesarean', 'chop', 'clostridium', 'conjugated', 'constipation', 'continuous passive motion', 'counts per minute', 'cpm', 'curettage', 'cyanosis or clubbing', 'cyc', 'cyclophosphamide', 'dactinomycin', 'doxorubicin', 'hemoglobin ac', 'hepatitis c', 'vac', 'vaccine', 'vacuum assisted closure', 'vax', 'vincristine', 'vincristine and prednisone', 'vit c', 'vitamin c', 'w', 'w.', 'w/', 'waldenstroms macroglobulinemia', 'wall motion', 'warm', 'wbc', 'wbccnt', 'wbcs', 'week', 'well', 'west', 'white blood cell', 'white blood cell count', 'white blood cells', 'white male', 'white matter', 'with', 'wk', 'wm', 'woman', 'work']"
119,ac 0/4,grade 0 anterior chamber angle,"['ac 0/4', 'grade 0 anterior chamber angle']"
120,ac 1/4,grade 1 anterior chamber angle,"['ac 1/4', 'grade 1 anterior chamber angle']"
121,ac 2/4,grade 2 anterior chamber angle,"['ac 2/4', 'grade 2 anterior chamber angle']"
